Athlete Name,Year,Team,Time,Event
"Hicks, Charles",JR-3,Stanford,27:57.5,10000
"Kiprop, Victor",SO-2,Alabama,27:57.6,10000
"Robinson, Ky",JR-3,Stanford,27:58.7,10000
"Beattie, Scott",SR-4,Tulsa,27:58.9,10000
"Kiprop, Patrick",JR-3,Arkansas,28:00.6,10000
"Liking, Bob",JR-3,Wisconsin,28:00.8,10000
"Jacobs, Dylan",SR-4,Tennessee,28:01.5,10000
"Clinger, Casey",JR-3,BYU,28:01.7,10000
"Thompson, Creed",SO-2,BYU,28:04.2,10000
"Dalton, Cormac",SR-4,Tulsa,28:04.3,10000
"Garnica, Brandon",SR-4,BYU,28:04.6,10000
"Keane, Barry",SR-4,Butler,28:04.7,10000
"Nokes, Joey",SO-2,BYU,28:05.4,10000
"Hart, Devin",JR-3,Stanford,28:07.6,10000
"Lopez Segura, Antonio",SR-4,Virginia Tech,28:09.9,10000
"Bosley, Drew",SO-2,Northern Arizona,28:18.0,10000
"Johnson, Ryan",SR-4,Air Force,28:20.7,10000
"Rodriguez, Isai",SR-4,Oklahoma State,28:20.9,10000
"Leonard, Rory",SO-2,Oklahoma State,28:21.3,10000
"Yego, Kirami",SR-4,South Alabama,28:22.9,10000
"Smith, Wil",SO-2,Gonzaga,28:24.0,10000
"Vancil, Austin",JR-3,Colorado,28:24.7,10000
"Blanks, Graham",SO-2,Harvard,28:24.8,10000
"Fay, Brian",SR-4,Washington,28:24.9,10000
"Perrin, Ben",JR-3,Montana State,28:25.2,10000
"Kibiwot, Ian",JR-3,Louisville,28:27.7,10000
"Sweeney, Charlie",SR-4,Colorado,28:28.1,10000
"McLeod, Jacob",JR-3,Arkansas,28:28.7,10000
"Scudder, Nickolas",JR-3,Charlotte,28:28.8,10000
"Sprout, Cole",JR-3,Stanford,28:30.9,10000
"Knight, Haftu",JR-3,Texas,28:32.5,10000
"Maier, Alex",JR-3,Oklahoma State,28:33.0,10000
"Mackinnon, Perry",SR-4,Cornell,28:33.9,10000
"Soca, Valentin",SO-2,CBU,28:34.3,10000
"Strintzos, Haftu",JR-3,Villanova,28:36.7,10000
"Aljabaly, Shuaib",JR-3,Tulsa,28:37.7,10000
"Brown, Mason",JR-3,Colorado St.,28:38.2,10000
"Overberg, James",FR-1,Colorado,28:39.0,10000
"Mwaura, James",SR-4,Gonzaga,28:39.5,10000
"Devaney, Chris",JR-3,Loyola (Ill.),28:40.4,10000
"Jennings, Jack",SO-2,Villanova,28:41.1,10000
"Berry, Kevin",SR-4,Notre Dame,28:41.1,10000
"Phillips, Josh",SR-4,Villanova,28:41.7,10000
"Beaudoin-Rousseau, Meika",JR-3,Stanford,28:42.3,10000
"O'Donnell, Paul",SR-4,Syracuse,28:42.5,10000
"Minor-Williams, Joseph",SR-4,South Dakota St.,28:43.3,10000
"Allen, Christian",JR-3,BYU,28:43.6,10000
"Ricketts, Christian",SR-4,CBU,28:43.6,10000
"Kirk, Zak",SR-4,Portland,28:43.8,10000
"Cheney, Habtamu",SR-4,Utah Valley,28:44.2,10000
"Abouzouhir, Abdelhakim",JR-3,Eastern Kentucky,28:44.9,10000
"Martins, Ryan",SR-4,Loyola (Ill.),28:45.5,10000
"Gertsen, Jonas",SO-2,Portland,28:45.6,10000
"Masai, Brian",FR-1,Akron,28:45.8,10000
"Grotenhuis, Cael",SO-2,Northern Arizona,28:45.9,10000
"Aschbrenner, Jace",SO-2,Colorado,28:46.8,10000
"Coleman, Ethan",FR-1,Notre Dame,28:46.9,10000
"Alonzo, Isaac",SO-2,Texas,28:47.8,10000
"Grundvig, Luke",FR-1,BYU,28:48.5,10000
"Throop, Dylan",SO-2,Penn,28:48.6,10000
"Russell, Nicholas",JR-3,Santa Clara,28:48.7,10000
"Watson, George",SR-4,Bradley,28:49.4,10000
"Reynaga, Matias",SO-2,CBU,28:49.5,10000
"Makuvire, Bradley",JR-3,Tulane,28:50.6,10000
"Savino, Ben",SR-4,Ole Miss,28:50.6,10000
"Brady, Tom",SR-4,Michigan,28:50.8,10000
"Twyman, Ian",JR-3,Santa Clara,28:51.6,10000
"Dee, Jamie",SR-4,Iona,28:51.7,10000
"Jouhari, Mohammed",SO-2,Boise State,28:51.7,10000
"Abdala, Daniel",SO-2,Portland,28:51.9,10000
"Medveds, Arturs",JR-3,CBU,28:53.3,10000
"Rocha, Marcelo",SR-4,Providence,28:53.4,10000
"Daschbach, Leo",SO-2,Washington,28:54.5,10000
"Bernal, Daniel",SR-4,UTEP,28:54.6,10000
"Dykema, Brock",JR-3,Colorado St.,28:54.7,10000
"Maxon, Chris",SR-4,Ole Miss,28:55.7,10000
"Harari, Assaf",FR-1,Syracuse,28:55.7,10000
"Propp, Malte",JR-3,Tulsa,28:56.7,10000
"Hussein, Abdinasir",JR-3,Oregon,28:57.1,10000
"Magnusson, Baldvin",SR-4,Eastern Michigan,28:57.2,10000
"Stanford, Jacob",FR-1,BYU,28:57.5,10000
"Zelek, Joshua",JR-3,Princeton,28:57.8,10000
"Gemeda, Merga",SR-4,South Dakota,28:58.1,10000
"Comerford, Alex",JR-3,Syracuse,28:58.1,10000
"Lawler, Nathan",JR-3,Syracuse,28:58.7,10000
"Flanagan, Teagan",SR-4,South Alabama,28:59.7,10000
"McGlynn, David",SR-4,Providence,28:59.9,10000
"Gilpatric, Micah",JR-3,Charleston Southern,28:59.9,10000
"O'Gorman, Aidan",JR-3,North Florida,28:59.9,10000
"Powell, Ethan",SR-4,Colorado,29:00.5,10000
"Le Pallec, Florian",SR-4,CBU,29:00.8,10000
"Richtman, Matthew",JR-3,Montana State,29:01.3,10000
"Prosser, Santiago",SO-2,Northern Arizona,29:01.8,10000
"Gualter, Toby",JR-3,Eastern Michigan,29:01.8,10000
